timestamp,x,y,event_type,speed,acceleration
1747104099238,1150,1754,move,0.35,0.06
1747104099247,1147,1754,move,0.34,0.04
1747104099255,1145,1754,move,0.26,0.03
1747104099263,1140,1754,move,0.63,0.08
1747104099268,1136,1754,move,0.71,0.13
1747104099277,1132,1754,move,0.47,0.06
1747104099285,1126,1754,move,0.75,0.09
1747104099293,1120,1754,move,0.73,0.09
1747104099299,1114,1754,move,1.03,0.18
1747104099307,1108,1754,move,0.74,0.09
1747104099315,1102,1754,move,0.74,0.09
1747104099322,1098,1754,move,0.56,0.08
1747104099329,1095,1754,move,0.43,0.06
1747104099337,1091,1754,move,0.52,0.07
1747104099345,1088,1754,move,0.36,0.04
1747104099351,1084,1754,move,0.7,0.12
1747104099359,1078,1754,move,0.75,0.09
1747104099367,1068,1752,move,1.27,0.16
1747104099375,1052,1752,move,2.01,0.25
1747104099380,1033,1752,move,3.71,0.73
1747104099389,1009,1750,move,2.59,0.28
1747104099397,985,1750,move,3.16,0.42
1747104099404,961,1750,move,3.11,0.4
1747104099410,940,1750,move,3.99,0.76
1747104099418,919,1750,move,2.4,0.27
1747104099426,902,1748,move,2.33,0.32
1747104099434,889,1746,move,1.54,0.18
1747104099440,878,1746,move,1.8,0.29
1747104099448,867,1744,move,1.4,0.17
1747104099456,858,1742,move,1.29,0.18
1747104099465,847,1742,move,1.22,0.14
1747104099470,838,1740,move,1.73,0.33
1747104099478,830,1740,move,0.99,0.12
1747104099486,819,1740,move,1.38,0.17
1747104099494,811,1739,move,1.01,0.13
1747104099501,802,1739,move,1.36,0.21
1747104099508,791,1737,move,1.47,0.19
1747104099516,780,1735,move,1.4,0.18
1747104099524,772,1735,move,0.97,0.12
1747104099530,765,1733,move,1.4,0.27
1747104099538,759,1733,move,0.72,0.09
1747104099546,755,1733,move,0.49,0.06
1747104099554,752,1732,move,0.4,0.05
1747104099560,750,1732,move,0.32,0.05
1747104099568,749,1732,move,0.14,0.02
1747104099576,746,1731,move,0.4,0.05
1747104099584,744,1731,move,0.23,0.03
1747104099590,743,1731,move,0.17,0.03
1747104099598,741,1731,move,0.25,0.03
1747104099606,740,1730,move,0.18,0.02
1747104099614,739,1730,move,0.13,0.02
1747104099628,738,1730,move,0.07,0.01
1747104100971,738,1730,move,0.0,0.0
1747104100979,741,1728,move,0.47,0.06
1747104100987,751,1723,move,1.43,0.18
1747104100993,768,1715,move,3.04,0.49
1747104101000,793,1703,move,3.67,0.49
1747104101009,825,1694,move,3.94,0.47
1747104101017,860,1689,move,4.27,0.52
1747104101022,907,1683,move,8.74,1.61
1747104101031,966,1683,move,7.28,0.9
1747104101039,1043,1679,move,9.1,1.07
1747104101047,1141,1679,move,12.75,1.66
1747104101053,1255,1682,move,17.89,2.81
1747104101061,1385,1682,move,17.23,2.28
1747104101069,1521,1686,move,16.21,1.93
1747104101077,1642,1698,move,15.92,2.08
1747104101083,1758,1714,move,18.09,2.79
1747104101091,1853,1730,move,12.93,1.74
1747104101099,1928,1748,move,9.14,1.08
1747104101106,1982,1760,move,8.17,1.21
1747104101113,2009,1765,move,3.77,0.52
1747104101121,2025,1769,move,2.11,0.27
1747104101129,2031,1770,move,0.77,0.1
1747104101137,2033,1771,move,0.28,0.04
1747104101143,2032,1771,move,0.16,0.03
1747104101150,2030,1774,move,0.49,0.07
1747104101159,2021,1777,move,1.14,0.14
1747104101167,2002,1782,move,2.32,0.27
1747104101173,1975,1786,move,4.9,0.88
1747104101180,1934,1789,move,5.67,0.78
1747104101189,1868,1792,move,7.3,0.81
1747104101196,1792,1792,move,10.46,1.44
1747104101203,1705,1792,move,13.75,2.17
1747104101210,1613,1792,move,12.47,1.69
1747104101219,1515,1789,move,10.86,1.2
1747104101226,1421,1782,move,13.17,1.84
1747104101232,1331,1767,move,14.55,2.32
1747104101240,1261,1749,move,9.06,1.13
1747104101248,1211,1730,move,6.69,0.84
1747104101257,1181,1718,move,4.0,0.5
1747104101263,1167,1708,move,2.87,0.48
1747104101271,1159,1698,move,1.6,0.2
1747104101278,1159,1687,move,1.39,0.17
1747104101286,1164,1675,move,1.62,0.2
1747104101292,1176,1663,move,2.82,0.47
